organisation,organisation_name,organisation_logo,records_count
AAD,Australian Antarctic Division,aad.jpg,1
ABC,Austral Biodiversity Ltd,,7
AHL,Amerada Hess Ltd,ahl.png,2
ANU,Australian National University,anu.png,1
ART,Antarctic Research Trust,art.png,11
BAS,British Antarctic Survey,bas.jpg,3
BHP,BHP Billiton Petroleum Corporation,bhp.jpg,5
BILC,Beaver Island Land Care,,1
BLIFE,BirdLife International,blife.jpg,3
BRIGGS,Briggs Marine,briggs.png,4
BSP,Borders & Southern Petroleum Plc,bsp.png,4
Bhabitat,BHabitat,,1
CAASM,Catalogue of Australian Antarctic and Subantarctic Metadata,caasm.gif,1
CNRS,Centre d'Ecologie Fonctionelle et Evolutive,cefecnrs.png,3
COFRA,College de France,cofra.png,1
CONFISH,Consolidated Fisheries Limited,confish.gif,1
PEIN,Penguin International Ltd,pein.png,1
DESIRE,Desire Petroleum Plc,desire.png,3
DESNAT,Design in Nature,,1
DMR,Falkland Islands Government - Department of Mineral Resources,fig.png,14
DOA,Falkland Island Government - Department of Agriculture,fig.png,7
ENVSYS,Environment Systems,envsys.png,2
EPD,Falkland Islands Government - Environmental Planning Department,fig.png,16
ESA,European Space Agency,esa.png,2
ESRG,Elephant Seal Research Group,esrg.jpg,12
FC,Falklands Conservation,fc.gif,37
FIFD,Falkland Islands Government - Fisheries Department,fig.png,11
FIGAS,Falkland Islands Government Air Service,fig.png,5
FIPEDU,Falkland Islands Government - Policy and Economic Development Unit,fig.png,1
FITB,Falkland Islands Tourist Board,fitb.jpg,2
FMEBD,Fundacion Migres,fmebd.png,1
FOGL,Falkland Oil and Gas Limited,fogl.jpg,8
GEBCO,General Bathymetric Chart of the Oceans,gebco.jpg,2
HMS,Hawk Mountain Sanctuary,hms.png,2
IMPERIAL,Imperial College London,icl.png,1
IPC,IPC Ltd,,2
ISPA,Marine and Environmental Sciences Centre ISPA,ispa.jpg,9
JNCC,Joint Nature Conservation Committee,jncc.png,1
LASMO,LASMO International Plc.,eni.png,3
MNHN,Museum National d'Histoire Naturelle,mnhn.jpg,1
MOD,Ministry of Defence,mod.jpg,4
NHM,Natural History Museum,nhm.jpg,3
NMNI,National Museums Northern Ireland,nmni.png,1
NMW,National Museum Wales,nmw.gif,1
NOBLE,Noble Energy Ltd,noble.png,3
OXNAV,University of Oxford,oxnav.png,1
PREMIER,Premier Oil plc,premier.jpg,15
PWD,Falkland Islands Government - Public Work Department,fig.png,7
RCKHP,Rockhopper Exploration Plc,rckhp.png,3
SAERI,South Atlantic Environmental Research Institute,saeri.png,123
SCAR,Scientific Committee on Antarctic Research,scar.png,1
SHELL,Shell Petroleum Development Limited,shell.jpg,1
SMSG,Shallow Marine Surveys Group,smsg.jpg,4
UCHILE,Universidad de Chile,uchile.jpg,2
UCONN,University of Connecticut,uconn.jpg,1
UCPH,University of Copenhagen,ucph.png,1
UCSD,University of California San Diego,ucsd.png,1
UDALHOUSIE,Dalhousie University,udalh.jpg,1
UKFIT,UK Falkland Islands Trust,ukfit.png,3
UKHO,UK Hydrographic Office,ukho.jpg,4
UMAG,Universidad de Magallanes,umag.png,1
UNIABD,University of Aberdeen,uniabd.jpg,8
UNIDUR,University of Durham,unidur.png,1
UNIGIESSEN,Justus Liebig University Giessen,unigiessen.png,2
UNIGLA,University of Glasgow,unigla.jpg,5
UNIMAINE,University of Maine,unimaine.png,7
UNIMSU,Michigan State University,unimsu.png,1
UNIYORK,University of York,uniyork.png,1
UOREGON,University of Oregon,uoregon.jpg,1
WCS,Wildlife Conservation Society,wcs.png,1
